departamento,area,tabelaId
Departamento de Administração,ADMINISTRAÇÃO,60200006
Departamento de Antropologia,ANTROPOLOGIA,70300003
Departamento de Arquitetura e Urbanismo,ARQUITETURA E URBANISMO,60400005
Departamento de Artes Cênicas,ARTES,80300006
Departamento de Artes Visuais,ARTES,80300006
Departamento de Biologia Celular,BIOLOGIA GERAL,20100000
Departamento de Biologia Molecular,BIOQUÍMICA,20800002
Departamento de Ciência da Computação,CIÊNCIA DA COMPUTAÇÃO,10300007
Departamento de Ciências da Informação,CIÊNCIA DA INFORMAÇÃO,60700009
Departamento de Ciências Farmacêuticas,FARMÁCIA,40300005
Departamento de Ciências Fisiológicas,FISIOLOGIA,20700008
Departamento de Ciências Florestais,RECURSOS FLORESTAIS E ENGENHARIA FLORESTAL,50200003
Departamento de Ciências Moleculares,BIOQUÍMICA,20800002
Departamento de Comunicação,COMUNICAÇÃO,60900008
Departamento de Direito,DIREITO,60100001
Departamento de Economia,ECONOMIA,60300000
Departamento de Educação Física,EDUCAÇÃO FÍSICA,40900002
Departamento de Educação,EDUCAÇÃO,70800006
Departamento de Engenharia Civil e Ambiental,ENGENHARIA CIVIL,30100003
Departamento de Engenharia Elétrica,ENGENHARIA ELÉTRICA,30400007
Departamento de Engenharia Mecânica,ENGENHARIA MECÂNICA,30500001
Departamento de Estatística,PROBABILIDADE E ESTATÍSTICA,10200002
Departamento de Farmácia,FARMÁCIA,40300005
Departamento de Filosofia,FILOSOFIA,70100004
Departamento de Física,FÍSICA,10500006
Departamento de Geociências,GEOCIÊNCIAS,10700005
Departamento de História,HISTÓRIA,70500002
Departamento de Letras,LETRAS,80200001
Departamento de Matemática,MATEMÁTICA,10100008
Departamento de Medicina,MEDICINA,40100006
Departamento de Medicina Veterinária,MEDICINA VETERINÁRIA,50500007
Departamento de Música,ARTES,80300006
Departamento de Nutrição,NUTRIÇÃO,40500004
Departamento de Odontologia,ODONTOLOGIA,40200000
Departamento de Patologia,BIOLOGIA GERAL,20100000
Departamento de Política,CIÊNCIA POLÍTICA,70900000
Departamento de Psicologia,PSICOLOGIA,70700001
Departamento de Química,QUÍMICA,10600000
Departamento de Relações Internacionais,CIÊNCIA POLÍTICA,70900000
Departamento de Saúde Coletiva,SAÚDE COLETIVA,40600009
Departamento de Serviço Social,SERVIÇO SOCIAL,61000000
Departamento de Sociologia,SOCIOLOGIA,70200009
Departamento de Teoria Literária e Literaturas,LETRAS,80200001
Departamento de Turismo,TURISMO,61300004
Departamento de Estudos Latino-Americanos,INTERDISCIPLINAR,90100000
Departamento de Estudos Africanos,INTERDISCIPLINAR,90100000
Departamento de Estudos Portugueses,INTERDISCIPLINAR,90100000
Departamento de Estudos Românicos,INTERDISCIPLINAR,90100000
Departamento de Estudos de Linguagem,INTERDISCIPLINAR,90100000
Departamento de Estudos de Gênero,INTERDISCIPLINAR,90100000
Departamento de Estudos do Lazer,INTERDISCIPLINAR,90100000
Departamento de Estudos do Meio Ambiente e Sociedade,INTERDISCIPLINAR,90100000
Departamento de Estudos do Trabalho,INTERDISCIPLINAR,90100000
